Cuarto,Mueble,Nivel,Posición,Título,Autor
D,V-Derecho,6,49,Dialogo con las estrellas,Florence Trystram
D,V-Derecho,6,4,Resumen de historia del Ecuador,Enrique Ayala Mora
D,V-Derecho,6,50,Aventuras de amor en nuestra historia,Varios autores
D,V-Derecho,6,51,Ecuador en los ojos de afuera,
D,V-Derecho,6,52,El camino del sol II,Jorge Carrera Andrade
D,V-Derecho,6,53,Argonautas de la selva,Leopoldo Benítez Vinueza
D,V-Derecho,6,54,Atahuallpa,Benjamín Carrión
D,V-Derecho,6,55,El camino del sol I,Jorge Carrera Andrade
D,V-Derecho,6,56,El cuento de la patria,Benjamín Carrión
D,V-Derecho,6,57,Huarochirí,
D,V-Derecho,6,5,Eloy,Carlos Droguett
D,V-Derecho,6,6,Disonancias dramáticas,"Anich. Brandes, Casal, Corrales, De Gori"
D,V-Derecho,6,7,Antología del teatro ecuatoriano de fin de siglo,Lola Proaño Gómez
D,V-Derecho,6,8,11-M. Tres días que engañaron al mundo,"Anjel Rekalde, Santiago Alba Rico, Rui Pereira, Giovani Giacopuzzi, Jabier Salutregi"
D,V-Derecho,6,9,El rumbo de las reforms. Hacia una nueva agenda para América Latina,Josep E. Stiglitz
D,V-Derecho,7,10,Jueos florales 1993. Calendariamente,Xavier Oquendo Troncoso
D,V-Derecho,7,11,Geografía de ausencias,Lázaro Valdelamar Sarabia
D,V-Derecho,7,12,Interiores,Ulises Estrella
D,V-Derecho,7,13,Libre amor,Ivan Eguez
D,V-Derecho,7,14,Levantapolvos,Rafael Larrea
D,V-Derecho,7,15,Terrenalis,Sergio Badilla
D,V-Derecho,7,16,Del crimen de El Ejido,Oswaldo Albornoz
D,V-Derecho,7,17,Un leguaje desnudo ,Laura Hidalgo Alzamora
D,V-Derecho,7,18,Ramón Viescas: el lírico mayor del destierro y  gran figura de la prosa polémica,Hernán Rodriguez Castelo
D,V-Derecho,7,19,Pablo Palacio: entre le drame et la folie,Pierre Lopez
D,V-Derecho,7,1,Los vagabundos del Dharma,Jack Kerouac
D,V-Derecho,7,20,El perfecto imperfecto,Carlos Serrano
D,V-Derecho,7,21,"Viajes y anecdotas don Pelé, Fidel y Ronaldo",Jorge Rivadeneira
D,V-Derecho,7,22,Poesía popular andina. Venezuela-Colombia-Panama,
D,V-Derecho,7,23,Srntido y trayectoria del pensamiento ecuatoriano,Carlos Paladines
D,V-Derecho,7,24,Estudios estilísticos,Gustavo Alfredo Jácome
D,V-Derecho,7,25,Situación del relato ecuatoriano. 50 opiniones y una discusión,Manuel Corrales Pascual (ed.)
D,V-Derecho,7,26,Los inolvidables,Carlos Andrade
D,V-Derecho,7,27,Revista CyberAlfaro #6,
D,V-Derecho,7,28,La pluma y el cetro,Juan Valdano Morejón
D,V-Derecho,7,29,"Signos, cantos y memoria en los Andes",Regina Herrizom
D,V-Derecho,7,2,Feria del libro de Quito 2009,
D,V-Derecho,7,30,Cuadernos del Guayas N. 64,Casa de la Cultura Ecuatoriana
D,V-Derecho,7,31,Revists Rocinante. Febrero 2011,
D,V-Derecho,7,32,La frontera Norte Ecuatoriana ante la influencia del conflicto bélico colombiano,Sander Lauret
D,V-Derecho,7,33,La ley de libertad educativa de las familias ecuatorianas y la prensa ,Edwing Guerrero Blum
D,V-Derecho,7,34,La consigna es resistir,Diego Oquendo
D,V-Derecho,7,35,Pequeños traficantes,Xavier Andrade
D,V-Derecho,7,36,El pais de las tinieblas,Iván Oñate
D,V-Derecho,7,37,Canciones de otoño,José Paúl Aguilar
D,V-Derecho,7,38,…y su corazón escapó para convertirse en pájaro,Edna Iturralde
D,V-Derecho,7,39,Revista Kipus II semestre 2001,
D,V-Derecho,7,3,Mapa de América,Benjamín Carrión
D,V-Derecho,7,40,Junto al cielo,Edna Iturralde
D,V-Derecho,7,41,Junto al cielo,Edna Iturralde
D,V-Derecho,7,42,Ingles intermedio para todos,Babel idiomas
D,V-Derecho,7,43,La identidad femenina,Cristian Avecillas
D,V-Derecho,7,44,Antología terminemos el cuanto ,Fernando Chamorro y Francisco Delgado Santos (Eds.)
D,V-Derecho,7,45,Miguel busca a su papa,Graciela Eldredge
D,V-Derecho,7,46,A veces,Jacqueline Caicedo Miño
D,V-Derecho,7,47,La campana en el espejo,Juan Carlos Morales Mejía
D,V-Derecho,7,48,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,49,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,4,Poemas delSol indígena,Manueal Federico Ponce
D,V-Derecho,7,50,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,51,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,52,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,53,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,54,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,55,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,56,Premio nacional Eugenio Espejo 2012,
D,V-Derecho,7,5,Teatro contemporáneo ,Hernán Rodriguez Castelo
D,V-Derecho,7,6,Ciudad en verso,Xavier Oquendo Troncoso
D,V-Derecho,7,7,Ciudad de invierno,Abdón Ubidia
D,V-Derecho,7,8,Ciudad de invierno,Abdón Ubidia
D,V-Derecho,7,9,Del latido profundo,Jaime Rodríguez Palacios
D,V-Izquierdo,1,10,Pensamiento Positivista Ecuatoriano,
D,V-Izquierdo,1,11,La muerte en Venecia,Thomas Mann
D,V-Izquierdo,1,12,Doce relatos. Los Sangurimas,José De la Cuadra
D,V-Izquierdo,1,13,"General Julio Andrade: Paz, Consulo, Victoria",Cecilia Falconí Pérez
D,V-Izquierdo,1,14,Cuento Popular Ecuatoriano,Abdón Ubidia
D,V-Izquierdo,1,16,Los grandes de la década del 30,Miguel Donoso Pareja
D,V-Izquierdo,1,17,Cuento ecuatoriano contemporáneo,Vladimiro Rivas
D,V-Izquierdo,1,18,Banca,Ángel Felicísimo Rojas
D,V-Izquierdo,1,19,Los nuevos centros de la esfera,Wiliam Ospina
D,V-Izquierdo,1,1,Historia del movimeinto obrero ecuatoriano,Patricio Icaza
D,V-Izquierdo,1,20,Crónicas de otros lunes,Raúl Andrade
D,V-Izquierdo,1,21,Juegp de mártires,Eliercer Cárdenas
D,V-Izquierdo,1,22,El realismo abierto de Pablo Palacio en la encrucijada de los 30,María del Carmen Fernández
D,V-Izquierdo,1,23,Sonata para sordos ,Ivan Eguez
D,V-Izquierdo,1,24,El mordisco imaginario,Celina Manzoni
D,V-Izquierdo,1,25,El fraude del arte contemporáneo ,Avelina Lesper
D,V-Izquierdo,1,26,Poesias Escogidas,"Círculo ""Amigos de Vallejo"""
D,V-Izquierdo,1,27,Michigan Quarterly Review,
D,V-Izquierdo,1,28,Por un García Moreno de cuerpo entero,Gabriel Cevallos García
D,V-Izquierdo,1,29,García Moreno,Hernán Rodriguez Castelo
D,V-Izquierdo,1,2,Defending our rainforest,Rolf Wesche y Andy Drumm
D,V-Izquierdo,1,3,Obras escogidas,Pablo Palacio
D,V-Izquierdo,1,4,Dacáveres: relatos perversos ,Jaime Marchán
D,V-Izquierdo,,15,Duendes y duendas más otros aparecidos de aquicito nomás,Laura Hidalgo Alzamora
D,V-Izquierdo,1,5,El pultimo día de un bandolero romántico,Jiame Sanchez Andrade
D,V-Izquierdo,1,6,Pensamiento Romántico Ecuatoriano,
D,V-Izquierdo,1,7,Antología Bilingüe del cuento ecuatoriano de inicios del siglo XXI,Luis Alfredo Aguilar Monsalve
D,V-Izquierdo,1,8,Jorge Carrera Andrade: memorias de un testigo. Tomo II,A. Darío Lara
D,V-Izquierdo,1,9,Jorge Carrera Andrade: memorias de un testigo. Tomo I,A. Darío Lara
D,V-Izquierdo,2,10,Antología Bilingüe del cuento ecuatoriano de inicios del siglo XXI,Luis Alfredo Aguilar Monsalve
D,V-Izquierdo,2,11,El secuestro del poder,"Fernando Artieda, Raúl Borja, José Steinsleger, Alfredo Pareja Diezcanseco"
D,V-Izquierdo,2,12,Repertorio literario. Ensayos,Vladimiro Rivas Iturralde
D,V-Izquierdo,2,13,"Cuento Popular Andino. Colombia, Chile, Venezuela. Tomo 2",
D,V-Izquierdo,2,14,Manuela,Luis Zuñiga
D,V-Izquierdo,2,15,La Otra América en debate,Irene León (ed.)
D,V-Izquierdo,2,16,Lira Ibarreña. Abril 1972,
D,V-Izquierdo,2,17,Hueso Húmero. Vol 48,
D,V-Izquierdo,2,18,Hueso Húmero. Vol 45,
D,V-Izquierdo,2,19,El vencedor,Jasé Bauza
D,V-Izquierdo,,21,Culantro perejil y otra yerbas venenosas,Charo Mejía Urrutia
D,V-Izquierdo,2,1,Versos diversos,Manuel Federico Ponce
D,V-Izquierdo,2,20,A río revuelto ,Miguel Donoso Pareja
D,V-Izquierdo,2,21,Ajuar de cal,Eduardo Villacís Meythaler
D,V-Izquierdo,2,22,Tiempos conservadores (América Latina en la derechización del contienente),Varios
D,V-Izquierdo,2,23,Huésped del alba. Poesía reunida,Wafi Salih
D,V-Izquierdo,2,24,Ojeada histórico-crítica. Tomo 1,Juan León Mera
D,V-Izquierdo,2,25,Relación de un veterano de la intependencia,Carlos R. Tobar
D,V-Izquierdo,2,26,Las puertas secretas de la noche,Patricio Carpio Mendieta
D,V-Izquierdo,2,27,Catálogo 2002-2005,Campaña Nacional Eugenio Espejo por el libro y la lectura
D,V-Izquierdo,2,28,El viernes negro,Blasco Peñaherrera P
D,V-Izquierdo,2,29,El susurro de las palabras,Milton Benítez
D,V-Izquierdo,2,2,Revista Kipus. I semestre/2000,
D,V-Izquierdo,2,30,Entre la fábrica y la ciudad,Juan Pablo Pérez Sáenz
D,V-Izquierdo,2,31,El gabinete del doctor Cineman,Marcelo Báez
D,V-Izquierdo,2,32,Pacho Villamizar,Roberto Andrade
D,V-Izquierdo,2,33,Rosa Luxemburg o el precio de la libertad,Dietz Berlin
D,V-Izquierdo,2,34,Relación de un veterano de la intependencia,Carlos R. Tobar
D,V-Izquierdo,2,35,Leyendas del Ecuador 2,Edgar Allan García
D,V-Izquierdo,2,36,Diario del padre Fritz,Hernán Rodriguez Castelo (Presentación)
D,V-Izquierdo,2,37,Con el pucho de la vida,León Valencia
D,V-Izquierdo,2,38,De la evasión al desencanto,Fernando Tinajero
D,V-Izquierdo,2,39,Quito en la América meridional,Juan de Velasco
D,V-Izquierdo,2,3,La imagen en las coplas del folklore ecuatoriano,Paulo de Carlvalho Neto
D,V-Izquierdo,2,40,Revista Kipus 2004,
D,V-Izquierdo,2,41,Los lenguajes de la piel ,Modesto Ponce Maldonado
D,V-Izquierdo,2,42,Tzántzicos…poesía,Raúl Árias
D,V-Izquierdo,2,4,Aproximaciones y distancias,Fernando Tinajero
D,V-Izquierdo,2,5,El viaje de Simón Bolivar a Loja,Stalin Alvear
D,V-Izquierdo,2,6,Conflicto y poder en un barrio popular de Quito,Mishy Lesser
D,V-Izquierdo,2,7,Sueños y guerras,Gabriel Jiménez Emán
D,V-Izquierdo,2,8,Los poderes omnimodos,Alfredo Pareja Diezcanseco
D,V-Izquierdo,2,9,Invasión a Iraq: la guerra contra la humanidad,FEDAEPS FSM-Ecuador
D,V-Izquierdo,3,10,Perro ebrio,lfredo Pérez Bermúdez
D,V-Izquierdo,3,11,Insurgente en el mundo literario del Ecuador,Michael Randelsman
D,V-Izquierdo,3,12,La caída de un canalla,James Hadley Chase
D,V-Izquierdo,3,13,Documentos legales,Fonacultura
D,V-Izquierdo,3,14,Tam Sawyer Detective,Mark Twain
D,V-Izquierdo,3,15,La Joie,Jorges Bernanos
D,V-Izquierdo,3,16,El modernismo en las revistas literarias del Ecuador: 1895-1930,Michael H. Handelsman
D,V-Izquierdo,3,17,Luz de América,Ugo Stornaiolo
D,V-Izquierdo,3,18,Plata y Bronce,Fernando Chaves
D,V-Izquierdo,3,19,Yunga y relatos de Emmanuel,Enrique Gil Gilbert
D,V-Izquierdo,3,1,Capitulo aparte. Octubre 2003,
D,V-Izquierdo,3,20,El arte en ela novelística de Jorge Icaza,Theodore Alan Sackett
D,V-Izquierdo,3,21,Ecuador,Concejo nacional de Cultura
D,V-Izquierdo,3,22,Recopilación de textos de Pablo Palacio,
D,V-Izquierdo,3,23,Flexibilidad y nuevos modelos productivos,Julio Echeverria (Coomp)
D,V-Izquierdo,3,24,Teoría de la cultura nacional,
D,V-Izquierdo,3,25,Doce relatos/Los Sangurimas,José De la Cuadra
D,V-Izquierdo,3,26,El montuvio Ecuatoriano,José De la Cuadra
D,V-Izquierdo,3,27,Ecología trágica,Gonzalo Zaldumbide
D,V-Izquierdo,3,28,El silencio da,Cristian Avecillas
D,V-Izquierdo,3,29,Al pie del hombre con palabras de papel,Amaro Nay
D,V-Izquierdo,3,2,Aguas abajo ,Eduardo Wilde
D,V-Izquierdo,3,30,Revista Esferaimagen. N.1,
D,V-Izquierdo,3,31,Ron Cubano,Galo Fernando vega Pérez
D,V-Izquierdo,3,32,Antologia Básica del Cuento Ecuaotoriano. 7ma edición actualizada,Eugenia Viteri
D,V-Izquierdo,3,33,Crónica de Magdalena River,Antonio Correa Losada
D,V-Izquierdo,3,34,Mohamed Alí. Rey del Ring,Norman Maile
D,V-Izquierdo,3,35,La llave de cristal,Dashiell Hammet
D,V-Izquierdo,3,36,Revista de la facultad de filosofía y teología N.1,
D,V-Izquierdo,3,37,Bogotanos,Alfonso Monsalve
D,V-Izquierdo,3,38,Evita es Cosa Nostra,Juan Braun
D,V-Izquierdo,3,39,Revista Cántaro #22,
D,V-Izquierdo,3,3,Poemas de amor al Pró(X)imo y otros desvelos,Franklin Cárdenas
D,V-Izquierdo,3,40,Mi nombre es patria,Raúl Vallarino
D,V-Izquierdo,3,41,Antología del cuento uruguayo contemporáneo,Arturo Sergio Visca
D,V-Izquierdo,3,4,"Colección ""La casa del pez""",Francisco Costa Maldonado
D,V-Izquierdo,3,5,El Jazz,Freddy Russo
D,V-Izquierdo,3,6,La víspera,Fabián Guerrero Obando
D,V-Izquierdo,3,7,Cuando el café florecia,Jorge Briones Villenas
D,V-Izquierdo,3,8,Nueva História del Ecuador,Enrique Ayala Mora
D,V-Izquierdo,3,9,Banca,Ángel Felicísimo Rojas
D,V-Izquierdo,4,10,La obscuridad,Carlos Aulestia
D,V-Izquierdo,4,11,Claraboya ,Raúl Andrade
D,V-Izquierdo,4,12,Yo soy el fuego,Oscar Vela
D,V-Izquierdo,4,13,Tres piezas de teatro,Francisco Tobar García
D,V-Izquierdo,4,14,Al margen de la historia,Cristobal de Gangotena y Jijón
D,V-Izquierdo,4,15,Encuentros de todos los tipos,Marcelo Báez Meza
D,V-Izquierdo,4,16,El gatopardo,Guissepe Tomas de Lampedusa
D,V-Izquierdo,4,17,Teoría transcultural del arte,Adolfo Colmenares
D,V-Izquierdo,4,18,La rueda de Chicago,Armando Romero
D,V-Izquierdo,4,19,El alma animal,Felipe Vega de la Cuadra
D,V-Izquierdo,4,1,Quiteñísmos ,Edgar Allan García
D,V-Izquierdo,4,20,Las nieves del Kilimanjaro y Los asesinos,Ernest hemingway
D,V-Izquierdo,4,21,Rosso lombardo,Atilio Caballero
D,V-Izquierdo,4,22,Océanos de arena,Santiago Gamboa
D,V-Izquierdo,4,23,Arte,Yasmina Reza
D,V-Izquierdo,4,24,Revista Re/incidencias 8. Octubre 2014,Centro cultural Benjamín Carrión
D,V-Izquierdo,4,25,La traición y otros cuentos,Rubén Tinajero
D,V-Izquierdo,4,26,Lo que no tiene nombre,Piedad Bonnett
D,V-Izquierdo,4,27,La areas del placer,H. J. Campbell
D,V-Izquierdo,4,28,Catedral,Raymond Carver
D,V-Izquierdo,4,29,Album de la familia,Gabriela Alemán
D,V-Izquierdo,4,2,SACHA PACHA. El mundo de la selva,Juan Santos Ortiz de Villalba
D,V-Izquierdo,4,30,Revista Hispamerica #66,
D,V-Izquierdo,4,31,El increible señor Galgo,Giego Vargas Gaete
D,V-Izquierdo,4,32,El comportamiento animal y humano,Konrad Lorenz
D,V-Izquierdo,4,33,Agua,José Fernandez
D,V-Izquierdo,4,3,Flujo Escarñata,Sonia Manzano
D,V-Izquierdo,4,4,"Reflexiones, indagaciones y retratos",Jorge Carrera Andrade
D,V-Izquierdo,4,5,Cuakquiercosario,Jorge Onetti
D,V-Izquierdo,4,6,María Joaquina en la vida y en la muerte,Jorge Dávila Vásquez
D,V-Izquierdo,4,7,La caída y la noche,Vladimiro Ramos Iturralde
D,V-Izquierdo,4,8,El niño que mataba por amor,Miltos Benítez
D,V-Izquierdo,4,9,La ceniza del adiós,Orlando Pérez
D,V-Izquierdo,5,10,Unguentos para adelgazar una flor,Nelson Villacís
D,V-Izquierdo,5,11,Colección de poesía ecuatoriana. ,José Joaquin de Olmedo
D,V-Izquierdo,5,12,Ecuador: historia de la república,Alfredo Pareja Diezcanseco
D,V-Izquierdo,5,13,Colección de poesía ecuatoriana. ,Adalberto Ortiz
D,V-Izquierdo,5,14,Colección de poesía ecuatoriana. ,César Dávila Andrade
D,V-Izquierdo,5,15,Colección de poesía ecuatoriana. ,David Ledesma Vásquez
D,V-Izquierdo,5,16,Colección de poesía ecuatoriana. ,Alfredo Gangotena
D,V-Izquierdo,5,17,Colección de poesía ecuatoriana. ,Rafael Díaz Icaza
D,V-Izquierdo,5,18,Colección de poesía ecuatoriana. ,César Borja Lavayen
D,V-Izquierdo,5,19,Colección de poesía ecuatoriana. ,Pedro jorge Vera
D,V-Izquierdo,5,1,Este furioso mundo,Pedro Jorge Vera
D,V-Izquierdo,5,20,Mini comptes d'ecrivains de l'Equateur,La maison internationale des poetes et des ecrivains
D,V-Izquierdo,5,21,Cuentos fríos y calientes,Edgar Allan García
D,V-Izquierdo,5,22,La enfermedad,Alberto Barrera Tyszka
D,V-Izquierdo,5,23,Dos mundos superpuestos ,Oswaldo Hutado
D,V-Izquierdo,5,24,Revista CyberAlfaro #7,
D,V-Izquierdo,5,25,Leyendas del Ecuador 2,Edgar Allan García
D,V-Izquierdo,5,26,La nouvelle Revue Francaise. Fevrier 1970,
D,V-Izquierdo,5,27,Ecuador. Anatomía de un país en transición,Ugo Stornaiolo
D,V-Izquierdo,5,28,Comida para locos,Nicolas Kingman
D,V-Izquierdo,5,29,La isla virgen ,Demetrio Aguilera Malta
D,V-Izquierdo,5,2,El escote de lo oculto,Varios
D,V-Izquierdo,5,30,Luzmila,
D,V-Izquierdo,5,31,La era del asombro,Fernando Naranjo Espinosa
D,V-Izquierdo,5,32,Ecuador: señas particulares,Jorge Enrique Adoum
D,V-Izquierdo,5,33,Rupito,Leonidas Proaño
D,V-Izquierdo,5,34,El escote de lo oculto,Varios
D,V-Izquierdo,5,35,Los adioses,Jorge Onetti
D,V-Izquierdo,5,36,Microcuentos de escritores ecuatorianos,
D,V-Izquierdo,5,37,Yunga ,Enrique Gil Gilbert
D,V-Izquierdo,5,38,Delirios de verano,Rocío Durán Barba
D,V-Izquierdo,5,39,Nuevo realismo ecuatoriano ,Miguel Donoso Pareja
D,V-Izquierdo,5,3,Disquisiciones y divagaciones Tomo 2,Victor Ivanovici
D,V-Izquierdo,5,40,La aventura amorosa y sus personajes ,Abdón Ubidia
D,V-Izquierdo,5,41,Poemas para motivar,Gladys Azocar
D,V-Izquierdo,5,42,Añoaré este sol,Laura Calvache Saltos
D,V-Izquierdo,5,43,Obras escogidas,Pablo Palacio
D,V-Izquierdo,5,44,Revista de arte Abrelatas. Nov-Dic 2002,
D,V-Izquierdo,5,45,La ceniza del adiós,Orlando Pérez
D,V-Izquierdo,5,46,El materialismo histórico,Xavier Velasco
D,V-Izquierdo,5,47,Pedal de viento,Raúl Arias
D,V-Izquierdo,5,48,El deseo que lleva su nombre,Carlos Carrión
D,V-Izquierdo,5,49,Entretextos,Francisco Proaño Arandi
D,V-Izquierdo,5,4,Disquisiciones y divagaciones Tomo 1,Victor Ivanovici
D,V-Izquierdo,5,50,La miel del silencio,Sonia Montenegro
D,V-Izquierdo,5,51,Los padres de Sherezade,Daniel Guebel
D,V-Izquierdo,5,52,Diario de un médico loco,Leonidas Andreiev
D,V-Izquierdo,5,53,Fausto ,Goethe
D,V-Izquierdo,5,54,"Crítica, ensayo y memoria de la literatura ecuatoriana",Vicente Robalino (Ed.)
D,V-Izquierdo,5,55,El proceso ,Franz Kafka
D,V-Izquierdo,5,56,Polvo de ángel ,Edwin Ulloa
D,V-Izquierdo,5,57,El viajero Inmóvil,Marcelo Baez Meza
D,V-Izquierdo,5,58,"Historia, tiempo y conocimiento del pasado",Enrique Ayala Mora
D,V-Izquierdo,5,59,Lili en la niebla,Daniel Félix
D,V-Izquierdo,5,5,"En busqca de Octavio Paz. De la historia a ""lo otro""",Luis Alfondo Chiriboga
D,V-Izquierdo,5,60,Visita íntima,Vladimiro Rivas
D,V-Izquierdo,5,61,Vida y leyenda de Miguel de Santiago,Alfredo Pareja Diezcanseco
D,V-Izquierdo,5,62,El perfil de la quimera. Siete ensayos literarios,Raúl Andrade
D,V-Izquierdo,5,63,El hombre que amaba a los perros,Leonardo Padura
D,V-Izquierdo,5,64,Los rituales del caos,Carlos Monsivais
D,V-Izquierdo,5,6,La novela ecuatoriana,Ángel Felicísimo Rojas
D,V-Izquierdo,5,7,Evocacion de la tierra habitada,Aníbal Fernandez Bonilla
D,V-Izquierdo,5,8,El guacamayo y la serpiente 11,
D,V-Izquierdo,5,9,Es tan dificil morir,Javier Ponce
D,V-Izquierdo,6,10,Mundos abiertos,Ney Yépez Cortés
D,V-Izquierdo,6,11,Henry Black,Miguel Donoso Pareja
D,V-Izquierdo,6,12,Un saco de alacranes. Cuentos,Raúl Pérez Torres
D,V-Izquierdo,6,13,Las mujeres están locas por mí,Raúl Serrano Sánchez
D,V-Izquierdo,6,14,Política ,Alfredo Vera
D,V-Izquierdo,6,15,En el braille de tu piel ,Carío Ramos
D,V-Izquierdo,6,16,Ciudad de invierno,Abdón Ubidia
D,V-Izquierdo,6,17,Ciudad de invierno,Abdón Ubidia
D,V-Izquierdo,6,18,El anillo. Cuentos,Eugenia Viteri
D,V-Izquierdo,6,19,Mosaico de una despedida,Patricia Plaza
D,V-Izquierdo,6,1,Alza la vista que no te veo los ojos,Alan Coronel
D,V-Izquierdo,6,20,Lon intereses creados,Jacinto Benavente
D,V-Izquierdo,6,21,Las criaturas de la noche,Jorge Dávila Vazquez
D,V-Izquierdo,6,22,Narrativa escogida de Pedro Jorge Vera. Volumn I,Pedro Jorge Vera
D,V-Izquierdo,6,23,"César Dávila Andrade, combate poético y suicidio",Jorge Dávila Vazquez
D,V-Izquierdo,6,24,Jorge Icaza: frontera del relato indigenista,Manuel Corrales Pascual
D,V-Izquierdo,6,25,Por la plata baila el perro,Pedro Jorge Vera
D,V-Izquierdo,6,26,Miss O'Ginia,Fernando Escobar Páez
D,V-Izquierdo,6,27,El tiempo Invariable,Pedro Jorge Vera
D,V-Izquierdo,6,28,Las novelas de Pedro Jorge Vera,Mary J. Harítos
D,V-Izquierdo,6,29,Narrativa escogida de Pedro Jorge Vera. Volumn I,Pedro Jorge Vera
D,V-Izquierdo,6,2,Mierditaciones siglo XXI,Patricio Falconí
D,V-Izquierdo,6,30,La república patriota: travesías de los imaginarios y de los lenguajes políticos en el pensamiento de Mariano Moreno,Esteban De Gori
D,V-Izquierdo,6,31,20 años de utopías en el mundo de Goliat,Maquita Cushunchic
D,V-Izquierdo,6,32,"Háblanos, Bolívar",Eliercer Cárdenas Espinosa
D,V-Izquierdo,6,33,Cuerpo adentro. Historias desde el closet,"Raúl Serrano Sánchez, editor"
D,V-Izquierdo,6,34,Historias de amor,Rubem Fonseca
D,V-Izquierdo,6,35,El olvido que seremos,Héctor Abad Faciolince
D,V-Izquierdo,6,36,Los días a tu nombre,Carlos Vásconez
D,V-Izquierdo,6,37,Odessa ,Frederick Forsyth
D,V-Izquierdo,6,38,Medios de comunicación y cultura popular,"Aníbal Ford, Jorge B. Rivera, Eduardo Romano"
D,V-Izquierdo,6,39,Las familias y los años,Pedro Jorge Vera
D,V-Izquierdo,6,3,La problemática psico-social y su correlación lingüística en la snovelas de Jorge Icaza,Anthony J. Vetrano
D,V-Izquierdo,6,40,Las familias y los años,Pedro Jorge Vera
D,V-Izquierdo,6,41,Oda en plenilunio y balada del ángel,Aníbal Fernandez Bonilla
D,V-Izquierdo,6,42,Caballos en la niebla,Juan Carlos Moya
D,V-Izquierdo,6,43,Desde el silencio,Francisco Proaño Arandi
D,V-Izquierdo,6,44,El pinar de Segismundo,Eliercer Cárdenas Espinosa
D,V-Izquierdo,6,45,Crónicas de viaje,Renato Ortega Luere
D,V-Izquierdo,6,4,El potro crucificado ,Oscar Vásquez Salazar
D,V-Izquierdo,6,5,Los últimos destellos del crepúsculo,Jenny Londoño López
D,V-Izquierdo,6,6,Cuentos para adultos,Charlie Viteri
D,V-Izquierdo,6,7,La memoria de midril,Adolfo Macías Huerta
D,V-Izquierdo,6,8,Cuentos breves y fantásticos,Jorge Dávile Vazquez
D,V-Izquierdo,6,9,"Cuanto te odio, Marilyn",Marcelo Cevallos R.
D,V-Izquierdo,7,10,Asesinato en Prado del Rey,Manuel Vázquez Montalbán
D,V-Izquierdo,7,11,La voz de Eros. Dos siglos de poe´sia política de mujeres ecuatorianas,Sheyla Bravo Velásquez
D,V-Izquierdo,7,12,L a cultura popular hoy. ,Revista Signos 36 (1988) Ministerio de cultura
D,V-Izquierdo,7,13,Tiempo,Abdón Ubidia
D,V-Izquierdo,7,14,El turno de Anacle,Galo Galarza
D,V-Izquierdo,7,15,La careta Brava,Enrique Davila Jijon
D,V-Izquierdo,7,16,Zoología fantástica,Juan de Velasco 
D,V-Izquierdo,7,17,La Mariscal. La inocencia perdida,Francisco Febres Cordero
D,V-Izquierdo,7,18,Manual de periodismo cultural,Colegio de periodistas de Pichincha
D,V-Izquierdo,7,19,La noche sumaria. Cuentos,Enrique Izaguirre
D,V-Izquierdo,7,1,Antologia básica del Cuento Ecuatoriano,Eugenia Viteri
D,V-Izquierdo,7,20,Solo por esta noche,Juan Andrade Heymann
D,V-Izquierdo,7,22,Maldito Corazón ,María Gabriela Alemán
D,V-Izquierdo,7,23,Lectura plural de La mala hora de Leopoldo Benítez Vinueza,Yovany Salazar Estrada
D,V-Izquierdo,7,24,La historia no termina,Marcelo Larrea
D,V-Izquierdo,7,25,Yo acuso,Emile Zola
D,V-Izquierdo,7,26,La historia no termina,Marcelo Larrea
D,V-Izquierdo,7,27,Juegos noctámbulos,Eduardo Almeida Hernández
D,V-Izquierdo,7,28,En la fábroca y la ciudad ,Juan Pablo Pérez Sainz
D,V-Izquierdo,7,29,Las 100 mejores obras de autores del Cañar,Antonio Sacoto Salamea
D,V-Izquierdo,7,2,La chuma del loco,Jorge Lozada
D,V-Izquierdo,7,30,Ciudades en conflicto ,D. Carrión (Coomp)
D,V-Izquierdo,7,31,Leonidas Proaño. El obispo de los pobres,Francisco Enrìquez Bermeo. Comp
D,V-Izquierdo,7,32,De la sonrisa al asombro,
D,V-Izquierdo,7,33,Las grandes masas de la historia,Evelyne Deher
D,V-Izquierdo,7,34,Fruta madura. Cuentos,
D,V-Izquierdo,7,35,El grupo de Guayaquil,Karl H. Heise
D,V-Izquierdo,7,36,Vida de Abelardo Moncayo,Rodrigo Villegas Dominguez
D,V-Izquierdo,7,37,Agua,Jorge Fernández
D,V-Izquierdo,7,38,Solo de palabras ,Raúl Vallejo
D,V-Izquierdo,7,39,Soñar despierta. Cartas y poemas. ,Alejandro Serrano Sáenz
D,V-Izquierdo,7,3,Breve historia contemporánea del Ecuador,Jorge Salvador Lara
D,V-Izquierdo,7,40,Clown y otros encierros,Jorge Velasco Mackenzie
D,V-Izquierdo,7,41,La última erranza,Joaquín Gallegos Lara
